@relation 'cleansed_data-weka.filters.unsupervised.attribute.Remove-R10,14,22'

@attribute yearID numeric
@attribute G numeric
@attribute R numeric
@attribute H numeric
@attribute 2B numeric
@attribute 3B numeric
@attribute HR numeric
@attribute RBI numeric
@attribute salary numeric
@attribute weight numeric
@attribute height numeric
@attribute bats {R,L,B}
@attribute AB numeric
@attribute SO numeric
@attribute BB numeric
@attribute IBB numeric
@attribute SH numeric
@attribute SF numeric
@attribute GIDP numeric
@attribute R_avg numeric
@attribute H_avg numeric
@attribute 2B_avg numeric
@attribute 3B_avg numeric
@attribute HR_avg numeric
@attribute salary_avg numeric
@attribute weight_avg numeric
@attribute height_avg numeric
@attribute AB_avg numeric
@attribute SO_avg numeric
@attribute BB_avg numeric
@attribute IBB_avg numeric
@attribute SH_avg numeric
@attribute SF_avg numeric
@attribute GIDP_avg numeric
@attribute G_avg numeric
@attribute RBI_avg numeric
@attribute num_years_in_league numeric
@attribute age numeric

@data
1985,116,51,87,12,0,26,58,300000,200,76,R,379,92,31,1,0,2,12,51,87,12,0,26,300000,200,76,379,92,31,1,0,2,12,116,58,3,27
1985,125,62,101,21,6,4,36,565000,165,73,L,390,40,27,0,6,1,4,62,101,21,6,4,565000,165,73,390,40,27,0,6,1,4,125,36,7,29
1985,17,0,0,0,0,0,0,463000,200,75,L,1,0,0,0,0,0,0,0,0,0,0,0,463000,200,75,1,0,0,0,0,0,0,17,0,5,29
1985,47,0,0,0,0,0,0,110000,172,72,R,1,0,0,0,0,0,0,0,0,0,0,0,110000,172,72,1,0,0,0,0,0,0,47,0,4,25
1985,46,14,30,2,0,0,9,333333,215,76,R,122,22,8,0,0,2,3,14,30,2,0,0,333333,215,76,122,22,8,0,0,2,3,46,9,15,39
1985,122,39,80,18,2,10,45,325000,180,69,R,327,60,12,2,9,5,5,39,80,18,2,10,325000,180,69,327,60,12,2,9,5,5,122,45,5,29
1985,35,0,0,0,0,0,0,1136262,195,73,R,0,0,0,0,0,0,0,0,0,0,0,0,1136262,195,73,0,0,0,0,0,0,0,35,0,18,41
1985,53,0,0,0,0,0,0,390000,190,73,R,0,0,1,0,0,0,0,0,0,0,0,0,390000,190,73,0,0,1,0,0,0,0,53,0,11,34
1985,163,77,155,38,4,24,92,195000,205,75,L,601,100,44,6,0,3,16,77,155,38,4,24,195000,205,75,601,100,44,6,0,3,16,163,92,3,26
1985,108,25,59,6,3,7,27,215000,175,75,L,180,29,20,1,0,2,3,25,59,6,3,7,215000,175,75,180,29,20,1,0,2,3,108,27,8,29
1985,51,0,1,0,0,0,0,375000,200,75,R,7,5,1,0,0,0,0,0,1,0,0,0,375000,200,75,7,5,1,0,0,0,0,51,0,8,33
1985,145,64,116,18,2,22,63,1450000,185,70,R,500,106,58,9,0,2,10,64,116,18,2,22,1450000,185,70,500,106,58,9,0,2,10,145,63,14,37
1985,142,47,112,30,0,17,58,550000,192,76,R,482,83,48,5,2,4,14,47,112,30,0,17,550000,192,76,482,83,48,5,2,4,14,142,58,4,29
1985,121,63,119,20,3,1,21,406250,160,72,R,469,44,40,1,7,2,7,63,119,20,3,1,406250,160,72,469,44,40,1,7,2,7,121,21,5,28
1985,153,58,153,32,2,21,75,800000,185,73,L,542,99,64,24,0,1,5,58,153,32,2,21,800000,185,73,542,99,64,24,0,1,5,153,75,5,28
1985,26,1,7,0,0,1,1,750000,190,74,R,56,25,7,0,2,0,0,1,7,0,0,1,750000,190,74,56,25,7,0,2,0,0,26,1,10,31
1985,38,2,2,0,0,0,0,200000,175,72,L,41,18,0,0,4,0,1,2,2,0,0,0,200000,175,72,41,18,0,0,4,0,1,38,0,2,28
1985,51,0,0,0,0,0,0,483333,205,77,R,6,4,0,0,0,0,0,0,0,0,0,0,483333,205,77,6,4,0,0,0,0,0,51,0,7,31
1985,83,10,26,2,0,3,22,310000,195,73,L,120,15,7,1,0,0,2,10,26,2,0,3,310000,195,73,120,15,7,1,0,0,2,83,22,17,38
1985,99,52,78,11,0,11,44,490000,170,69,R,275,37,46,1,1,3,14,52,78,11,0,11,490000,170,69,275,37,46,1,1,3,14,99,44,13,40
1985,97,45,70,12,0,13,40,600000,185,74,R,298,64,59,2,0,3,8,45,70,12,0,13,600000,185,74,298,64,59,2,0,3,8,97,40,13,35
1985,161,74,180,30,3,14,106,865000,190,72,R,587,58,68,7,2,9,14,74,180,30,3,14,865000,190,72,587,58,68,7,2,9,14,161,106,7,31
1985,20,1,5,0,0,0,1,766667,190,75,R,24,7,0,0,6,0,1,1,5,0,0,0,766667,190,75,24,7,0,0,6,0,1,20,1,12,34
