@relation 'newest_weka_batters_no_null-weka.filters.unsupervised.attribute.Remove-R1,23-weka.filters.unsupervised.attribute.NumericToNominal-R19'

@attribute lgID {NL,AL}
@attribute yearID numeric
@attribute AB numeric
@attribute R numeric
@attribute H numeric
@attribute 2B numeric
@attribute 3B numeric
@attribute HR numeric
@attribute RBI numeric
@attribute SB numeric
@attribute CS numeric
@attribute BB numeric
@attribute SO numeric
@attribute IBB numeric
@attribute SH numeric
@attribute SF numeric
@attribute GIDP numeric
@attribute G numeric
@attribute GP {0,1}
@attribute height numeric
@attribute weight numeric
@attribute age numeric
@attribute num_years_in_league numeric
@attribute previous_appearances numeric

@data
AL,1992,208,21,58,10,1,1,16,1,2,12,35,2,2,3,3,97,0,73,190,26,5,0
AL,1955,309,56,75,12,3,6,32,2,8,89,69,2,3,3,6,118,0,72,185,31,6,0
AL,1956,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0,4,0,72,185,32,7,0
NL,1985,9,0,0,0,0,0,1,0,0,0,2,0,0,0,0,6,0,72,185,23,0,0
NL,1996,22,1,5,1,0,0,1,0,0,2,3,0,0,0,1,15,0,72,220,22,0,0
NL,1997,188,22,47,10,2,3,26,7,2,21,48,0,0,0,0,59,0,72,220,23,1,0
NL,1998,497,68,155,29,6,17,74,19,10,84,133,14,4,4,6,151,0,72,220,24,2,0
NL,1999,546,118,183,35,11,20,93,27,9,109,113,8,0,4,13,152,0,72,220,25,3,0
NL,2000,576,103,182,42,10,25,79,28,8,100,116,9,0,3,12,154,0,72,220,26,4,0
NL,2001,588,118,170,48,4,31,110,36,14,106,137,11,0,9,13,162,0,72,220,27,5,0
NL,2002,572,102,176,50,6,20,85,31,12,104,117,9,0,6,11,157,0,72,220,28,6,0
NL,2003,577,99,173,35,1,20,101,22,9,109,126,13,0,7,13,158,0,72,220,29,7,0
NL,2004,574,118,173,47,1,30,105,40,5,127,116,10,0,7,5,159,1,72,220,30,8,0
NL,2005,588,104,168,37,1,24,102,31,9,117,134,15,0,8,7,162,1,72,220,31,9,1
NL,2006,339,61,94,25,2,8,65,20,4,91,86,5,0,6,8,98,0,72,220,32,10,2
AL,2007,605,123,171,40,5,16,101,25,8,84,115,0,0,7,11,158,0,72,220,33,11,2
AL,2008,609,100,180,39,4,20,100,22,11,73,109,2,0,1,14,156,0,72,220,34,12,2
AL,2009,563,96,165,29,3,15,103,30,8,94,113,7,0,9,15,152,0,72,220,35,13,2
AL,2010,573,88,146,41,1,20,78,24,10,87,132,3,0,5,13,154,0,72,220,36,14,2
AL,2011,502,54,127,30,1,8,60,21,5,78,113,5,1,3,8,142,0,72,220,37,15,2
AL,2012,24,1,5,3,0,0,5,0,0,2,5,0,0,1,1,8,0,72,220,38,16,2
NL,2014,133,12,33,9,0,1,14,1,0,20,21,0,0,2,3,78,0,72,220,40,18,2
AL,2014,556,80,176,35,2,36,107,3,1,51,131,15,0,4,14,145,1,75,255,27,0,0
NL,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,72,185,26,0,0
